User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,ASIAXFJCWKYXJMHK2UG7,2021-02-25T23:15:10Z,config.amazonaws.com,DescribeConfigurationRecorders,eu-west-1,109.77.89.116,"AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.952 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation",AccessDenied,[],93ec58a3-95b5-4556-af74-91630817dfbb,89762be3-1de3-4905-bc3e-dd25cd8774e2,true,AwsApiCall,492383393326,Management
CloudTrail,ASIAXFJCWKYXJMHK2UG7,2021-02-25T23:14:52Z,config.amazonaws.com,DescribeConfigurationRecorders,eu-west-1,109.77.89.116,"AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.952 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation",AccessDenied,[],851c50ad-8c19-4a2b-8b73-18e6e7cf5a77,3a0ef229-67b1-47d6-9c8d-2f6c2a502d56,true,AwsApiCall,492383393326,Management
CloudTrail,ASIAXFJCWKYXJMHK2UG7,2021-02-25T23:14:16Z,config.amazonaws.com,DescribeConfigurationRecorders,eu-west-1,109.77.89.116,"AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.952 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation",AccessDenied,[],defaee8f-54f7-4464-a5cb-e74071954f28,f60dd583-4521-4447-a525-a15d1ba4868c,true,AwsApiCall,492383393326,Management
CloudTrail,ASIAXFJCWKYXJMHK2UG7,2021-02-25T23:14:13Z,config.amazonaws.com,DescribeConfigurationRecorders,eu-west-1,109.77.89.116,"AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.946 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation",AccessDenied,[],77c66b4d-5278-479d-a023-ea732ff87b14,e450e335-6a8b-47bc-b6ae-4cc248147e70,true,AwsApiCall,492383393326,Management
CloudTrail,ASIAXFJCWKYXJMHK2UG7,2021-02-25T23:14:11Z,config.amazonaws.com,DescribeConfigurationRecorders,eu-west-1,109.77.89.116,"AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.946 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation",AccessDenied,[],65609528-5300-41ec-aa7c-db9ee67cf757,d27d150d-e520-4535-ab18-bd8f456719c3,true,AwsApiCall,492383393326,Management
CloudTrail,ASIAXFJCWKYXJMHK2UG7,2021-02-25T23:13:06Z,config.amazonaws.com,DescribeConfigurationRecorders,eu-west-1,109.77.89.116,"AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.946 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation",AccessDenied,[],875b4dbb-3879-49aa-bb53-210f70a3fbea,ffb0ce68-e328-48ab-9d01-5d15ca62f435,true,AwsApiCall,492383393326,Management
CloudTrail,ASIAXFJCWKYXJMHK2UG7,2021-02-25T23:12:38Z,config.amazonaws.com,DescribeConfigurationRecorders,eu-west-1,109.77.89.116,"AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.946 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation",AccessDenied,[],18a4326b-313f-4717-b4e1-b859848263ae,86439479-fd7c-41c2-b13e-ac3abc860caa,true,AwsApiCall,492383393326,Management
CloudTrail,ASIAXFJCWKYXJMHK2UG7,2021-02-25T23:09:11Z,config.amazonaws.com,DescribeConfigurationRecorders,eu-west-1,109.77.89.116,"AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.946 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation",AccessDenied,[],6f3164d9-3d8c-4d0a-b7d9-c774e948fa4c,6cb6fe48-84b4-41b4-9c48-28b23da37776,true,AwsApiCall,492383393326,Management
CloudTrail,ASIAXFJCWKYXJMHK2UG7,2021-02-25T23:07:12Z,cloudtrail.amazonaws.com,LookupEvents,eu-west-1,109.77.89.116,console.amazonaws.com,,[],780e210a-86c3-4afb-a4fd-6789e0461135,75264cb6-c06d-41ad-bebd-5001c3a825db,true,AwsApiCall,492383393326,Management
CloudTrail,ASIAXFJCWKYXJMHK2UG7,2021-02-25T23:06:43Z,cloudtrail.amazonaws.com,LookupEvents,eu-west-1,109.77.89.116,console.amazonaws.com,,[],ce0b71db-52e6-4160-b526-a4f1d2592f6d,48a66221-1bba-41cb-8615-8532ae9a2560,true,AwsApiCall,492383393326,Management
CloudTrail,ASIAXFJCWKYXJMHK2UG7,2021-02-25T23:06:42Z,config.amazonaws.com,DescribeConfigurationRecorders,eu-west-1,109.77.89.116,"AWSCloudTrail, aws-internal/3 aws-sdk-java/1.11.946 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.282-b08 java/1.8.0_282 vendor/Oracle_Corporation",AccessDenied,[],b8552c8e-f07e-4e58-ae31-566c34eab912,207d0c8b-1441-4641-9401-62cba6b4c6ad,true,AwsApiCall,492383393326,Management
CloudTrail,ASIAXFJCWKYXJMHK2UG7,2021-02-25T23:06:31Z,cloudtrail.amazonaws.com,DescribeTrails,eu-west-1,109.77.89.116,console.amazonaws.com,,[],d0e84207-7293-4032-997d-7d839656b4de,20cf85df-1aa3-4dd1-a6ee-6416499e59fa,true,AwsApiCall,492383393326,Management
CloudTrail,ASIAXFJCWKYXJMHK2UG7,2021-02-25T23:06:31Z,cloudtrail.amazonaws.com,GetTrailStatus,eu-west-1,109.77.89.116,console.amazonaws.com,,[],b44f9dcf-ac6f-472d-8083-8a5c388eaa0d,83cbcda0-7ccf-4da3-84cc-a7b4589b25e1,true,AwsApiCall,492383393326,Management
CloudTrail,ASIAXFJCWKYXFNOXZP5F,2021-02-25T23:04:48Z,s3.amazonaws.com,GetBucketVersioning,eu-west-1,109.77.89.116,"[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.920 Linux/4.9.230-0.1.ac.224.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",AccessDenied,[],9FF229836AD19A38,bc43124f-9ee5-42e6-a42e-c6b10e95aa83,true,AwsApiCall,492383393326,Management
CloudTrail,ASIAXFJCWKYXFNOXZP5F,2021-02-25T23:04:45Z,s3.amazonaws.com,ListAccessPoints,eu-west-1,109.77.89.116,"[AWS Console S3, aws-internal/3 aws-sdk-java/1.11.920 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",AccessDenied,[],44C51E8DF946D9A0,eecafe42-dd36-4eb8-a8ef-0c77bd72fbcf,true,AwsApiCall,492383393326,Management
CloudTrail,ASIAXFJCWKYXFNOXZP5F,2021-02-25T23:04:39Z,s3.amazonaws.com,GetBucketWebsite,eu-west-1,109.77.89.116,"[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.920 Linux/4.9.230-0.1.ac.224.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",AccessDenied,[],D83E955DEB932997,6d81ee69-e528-41af-8226-2fa3257e80ab,true,AwsApiCall,492383393326,Management
CloudTrail,ASIAXFJCWKYXFNOXZP5F,2021-02-25T23:04:39Z,s3.amazonaws.com,GetBucketPolicy,eu-west-1,109.77.89.116,"[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.920 Linux/4.9.230-0.1.ac.224.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",,[],872372A003FEDBE9,95d8578d-2537-4cc7-b77a-cb54b2800a1c,true,AwsApiCall,492383393326,Management
CloudTrail,ASIAXFJCWKYXFNOXZP5F,2021-02-25T23:04:39Z,s3.amazonaws.com,GetBucketVersioning,eu-west-1,109.77.89.116,"[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.920 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",AccessDenied,[],BA2E3040F0A4BF24,c64d75d5-a80a-4ca1-bcf5-f220a0256bde,true,AwsApiCall,492383393326,Management
CloudTrail,ASIAXFJCWKYXFNOXZP5F,2021-02-25T23:04:39Z,s3.amazonaws.com,ListAccessPoints,eu-west-1,109.77.89.116,"[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.920 Linux/4.9.230-0.1.ac.224.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",AccessDenied,[],C672316650D49F2C,cdc62801-4be9-4ddd-8d92-6e85955e3027,true,AwsApiCall,492383393326,Management
CloudTrail,ASIAXFJCWKYXFNOXZP5F,2021-02-25T23:04:39Z,s3.amazonaws.com,GetAccountPublicAccessBlock,eu-west-1,109.77.89.116,"[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.920 Linux/4.9.230-0.1.ac.223.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",AccessDenied,[],4E11073A6A8E10D6,dd240c79-e299-45db-b89c-ba768d2ef20d,true,AwsApiCall,492383393326,Management
CloudTrail,ASIAXFJCWKYXFNOXZP5F,2021-02-25T23:04:25Z,s3.amazonaws.com,GetAccountPublicAccessBlock,eu-west-1,109.77.89.116,"[S3Console/0.4, aws-internal/3 aws-sdk-java/1.11.920 Linux/4.9.230-0.1.ac.224.84.332.metal1.x86_64 OpenJDK_64-Bit_Server_VM/25.275-b01 java/1.8.0_275 vendor/Oracle_Corporation]",AccessDenied,[],E9AFE2960DC193D7,e1e5e5bd-6f6e-4980-a2ac-87562ce1c517,true,AwsApiCall,492383393326,Management
